Item_ID,Color,Size,Inventory_Available
F1 VTX1230,BHW,30 30,3
F1 VTX1230,BHW,30 32,45
F1 VTX1230,BHW,32 30,26
F1 VTX1230,BHW,32 32,42
F1 VTX1230,BHW,32 34,50
F1 VTX1230,BHW,34 30,26
F1 VTX1230,BHW,34 32,27
F1 VTX1230,BHW,34 34,20
F1 VTX1230,BHW,34 36,25
F1 VTX1230,BHW,36 30,26
F1 VTX1230,BHW,36 32,47
F1 VTX1230,BHW,36 34,35
F1 VTX1230,BHW,36 36,21
F1 VTX1230,BHW,38 30,27
F1 VTX1230,BHW,38 32,32
F1 VTX1230,BHW,38 34,22
F1 VTX1230,BHW,38 36,22
F1 VTX1230,BHW,40 30,28
F1 VTX1230,BHW,40 32,31
F1 VTX1230,BHW,40 34,40
F1 VTX1230,BHW,42 30,33
F1 VTX1230,BHW,42 32,34
F1 VTX1230,BHW,42 34,24
F1 VTX1230,BHW,44 30,34
F1 VTX1230,BHW,44 32,30
F1 VTX1230,BHW,44 34,14
F1 VTX1230,DSW,30 30,0
F1 VTX1230,DSW,30 32,0
F1 VTX1230,DSW,30 34,0
F1 VTX1230,DSW,31 30,0
F1 VTX1230,DSW,31 32,0
F1 VTX1230,DSW,31 34,0
F1 VTX1230,DSW,32 30,0
F1 VTX1230,DSW,32 32,0
F1 VTX1230,DSW,32 34,0
F1 VTX1230,DSW,33 30,0
F1 VTX1230,DSW,33 32,0
F1 VTX1230,DSW,33 34,0
F1 VTX1230,DSW,34 30,0
F1 VTX1230,DSW,34 32,0
F1 VTX1230,DSW,34 34,0
F1 VTX1230,DSW,34 36,0
F1 VTX1230,DSW,35 30,0
F1 VTX1230,DSW,35 32,0
F1 VTX1230,DSW,35 34,0
F1 VTX1230,DSW,35 36,0
F1 VTX1230,DSW,36 30,0
F1 VTX1230,DSW,36 32,0
F1 VTX1230,DSW,36 34,0
F1 VTX1230,DSW,36 36,0
F1 VTX1230,DSW,38 30,0
F1 VTX1230,DSW,38 32,0
F1 VTX1230,DSW,38 34,0
F1 VTX1230,DSW,38 36,0
F1 VTX1230,DSW,40 30,0
F1 VTX1230,DSW,40 32,0
F1 VTX1230,DSW,40 34,0
F1 VTX1230,DSW,40 36,0
F1 VTX1230,DSW,42 30,3
F1 VTX1230,DSW,42 32,34
F1 VTX1230,DSW,42 34,0
F1 VTX1230,DSW,42 36,0
F1 VTX1230,DSW,44 30,8
F1 VTX1230,DSW,44 32,22
F1 VTX1230,DSW,44 34,0
F1 VTX1230,DSW,44 36,0
F1 VTX1230,DW,30 30,0
F1 VTX1230,DW,30 32,0
F1 VTX1230,DW,30 34,0
F1 VTX1230,DW,31 30,0
F1 VTX1230,DW,31 32,0
F1 VTX1230,DW,31 34,0
F1 VTX1230,DW,32 30,0
F1 VTX1230,DW,32 32,83
F1 VTX1230,DW,32 34,10
F1 VTX1230,DW,33 30,0
F1 VTX1230,DW,33 32,0
F1 VTX1230,DW,33 34,0
F1 VTX1230,DW,34 30,23
F1 VTX1230,DW,34 32,1
F1 VTX1230,DW,34 34,0
F1 VTX1230,DW,34 36,0
F1 VTX1230,DW,35 30,0
F1 VTX1230,DW,35 32,0
F1 VTX1230,DW,35 34,0
F1 VTX1230,DW,35 36,0
F1 VTX1230,DW,36 30,0
