Itemid,Color,Inventsizeid,Available,Wip,ItemDesc
F1 VTX1000,BK / BLACK,28 30,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,28 32,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,28 36,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,29 30,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,29 36,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,30 30,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,30 32,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,30 36,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,31 30,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,31 32,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,31 36,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,32 30,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,32 32,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,32 34,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,33 30,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,33 32,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,33 34,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,33 36,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,34 30,2,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,34 32,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,34 34,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,34 36,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,35 30,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,35 32,0,-350,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,35 34,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,35 36,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,36 30,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,36 32,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,36 34,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,36 36,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,36 UNF,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,38 30,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,38 32,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,38 34,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,38 36,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,38 UNF,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,40 30,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,40 32,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,40 34,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,40 36,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,40 UNF,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,42 30,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,42 32,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,42 34,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,42 36,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,42 UNF,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,44 30,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,44 32,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,44 34,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,44 36,0,0,VERTX ORIGINAL MEN'S PANTS
F1 VTX1000,BK / BLACK,44 UNF,0,0,VERTX ORIGINAL MEN'S PANTS
